comment_er,level,comment_time,caption,content,support,object,feedback
喵呜酱,推荐,2021-10-05 19:34:27,小学日记凑出一部中国版《鱿鱼游戏》,"今天去姐妹家玩，翻出了她小学的日记本，里面记录的全是和我玩游戏的事，这简直凑出了一部中国版的《鱿鱼游戏》啊！如果是我拍的话。。。第一关，踢毽子，踢不到10个的全部over,凭这一关就能淘汰掉大部分的人，毕竟只有少数者才有资格参与竞争。第二关，团体游戏，双人骑单车",,,0回应
脑袋不大灵光,较差,2021-10-05 19:24:59,纯吐槽向,1.根据警察看到的，这个游戏在至少1998年就有了，二十多年过去了，游戏机制还没完善！不堪一击！有偷偷走私的，有警察偷偷混进来，有可以悄悄带武器进来的，悄悄带烟进来的！2.设定是参加者是一帮子欠下巨款穷途末路的亡命之徒玩赌命的游戏，结果我看你们也不是很想赢诶，男主,3,,0回应
柚柚,推荐,2021-10-05 17:43:44,可怜人必有可恨之处,有钱人…有权人…食物链的最顶端…社会的最底层…好人就好吗？坏人就坏吗？这就是社会…这就是现实…男主好人？看似因为男主善良仁义，最后他赢得了比赛。其实，他只对游戏者善良了。把最深的伤害给了女儿，妻子和母亲。也是坏人一个。要说善良，全剧最善良的应该是那个鼻,,,0回应
bili,推荐,2021-10-05 16:14:13,真善、私善、伪善,我们常说：“除了生死，其他都是小事。”这场用生命做赌局的游戏，展现出了各式各样的人性。活到最后的三个主角，很好的诠释了善良的各种形态。首先是我最喜欢的一个角色——姜晓。一个北韩的偷渡者，生活在底层的一家人，为了活得更好，偷渡到韩国。父亲在途中不幸身亡，母亲,,,0回应
符清,还行,2021-10-05 15:58:35,废物圣母男主靠狗屎运过关斩将的故事。,都要全灭了，还搁那儿圣母。自己骗老爷子的时候选择性忽视原则，换别人就要骂人一顿。几百号人各有各的不幸，偏偏把男主设置的这么普通双标没脑子。奔着跟《诚如神之所说》相似来看的，总体人设太单薄，没见过哪个同类型的作品男主如此废物，没有光环早死一万次了。第一个游戏,,,0回应
mica,推荐,2021-10-05 15:32:23,能不能说玩家去参加游戏是纯粹出于自愿?,不知道哪里敏感了，截个图吧，我猜是gong产煮裔，之类的吧，我觉得我说的已经够平静理讨了，结果还是发不出去，对这个什么都不能发的舆论环境深深绝望了，老老实实说话说不出，人身攻击倒是处处有，到最后只禁了观点，禁了思考，禁不住谩骂和愤怒，因为骂人是可以随便输出的再,1,,0回应
豆友UACktogQlU,力荐,2021-10-05 15:19:07,值得五星的鱿鱼游戏,游戏比赛一类是最能抓住观众好奇心的形式，因为会很想知道比赛的结果谁胜谁负。第一个游戏是木头人，一上来巨大的木偶人小女孩很有视觉冲击力，扫射杀死几百人的场景刺激又壮观。第二个游戏椪糖，抠出糖果的形状。男二在这里开始干损人不利己的事情，明明猜到游戏规则，自己挑,1,,0回应
豆友UACktogQlU,力荐,2021-10-05 15:19:06,值得五星的鱿鱼游戏,游戏比赛一类是最能抓住观众好奇心的形式，因为会很想知道比赛的结果谁胜谁负。第一个游戏是木头人，一上来巨大的木偶人小女孩很有视觉冲击力，扫射杀死几百人的场景刺激又壮观。第二个游戏椪糖，抠出糖果的形状。男二在这里开始干损人不利己的事情，明明猜到游戏规则，自己挑,,,0回应
Mathematics,较差,2021-10-05 14:19:41,珍爱生命，远离营销?,总评:大烂剧😅饥饿游戏电锯惊魂赌博默示录剧组联袂导演的亚洲特映超低配版本。电锯惊魂贡献一个癌症boss老头，饥饿游戏帮忙搭个舞台和游戏设定，赌博默示录给你一个嗜赌成性但充满人情味的男主，还有一堆配角的既视感都不想一一列了。全员脸谱化设定，经典赌狗好人男主心机,7,,0回应
沉浮,暂无评价,2021-10-05 13:47:53,看鱿鱼游戏有感,韩剧《鱿鱼游戏》最后一集的结尾其实是败笔，成奇勋摆脱参加游戏的阴影之后，打算乘飞机去国外见女儿，结果坐地铁时再次看到孔侑主演的神秘人，和曾经一样，在地铁里和一个落魄的人玩游戏，别人输了神秘人就打对方一个耳光，神秘人自己输了就给对方一万韩元。成奇勋立即被激怒,,,0回应
yan,暂无评价,2021-10-05 13:11:48,鱿鱼游戏中非对抗类游戏的“必胜法”,鱿鱼游戏中非对抗类游戏“必胜法”(达到游戏规则可大部分人通关，不必双方对抗至死)1一二三木头人，当第一个人死或第一轮扫射后，后面人拿尸体作为挡箭牌前进就像老鹰抓小鸡那样，大家可以在木头人数数时前进，等她回头时候就整体不动，大部分人能活。2椪糖游戏，主要和男主,,,2回应
树桩,推荐,2021-10-05 13:00:14,假如参加游戏的是我。。。,国庆假期没回家，和舍友宅在宿舍花了两天追完了这部剧，当时看到第9集男主从登机口回头那一幕时，我就和舍友齐齐悲呼，并且感叹：这编剧还真能编。看完这部剧，除了意犹未尽外，我还生发出一点想法。我不像其他评论者那样能对剧中的人物剖析得那么透彻，也没那个水平能写出对,,,1回应
Knigkt.深渊,推荐,2021-10-05 12:04:54,穷人的拼死拼活，只不过是富人的一场游戏——鱿鱼游戏,穷人为了金钱拼死拼活，最后不过是富人用来打发时间的游戏而已。游戏的部分真的挺有趣的，除了成奇勋、曹尚佑、姜晓这三个活到第五个游戏的胜利者以外，还塑造了一系列很有意思的游戏参加者，我觉得最有意思的是韩美女，能屈能伸，为了胜利也能出卖肉体，所以她最后和张德秀同,,,0回应
非理性,还行,2021-10-05 11:57:10,我喂过流浪猫，我是个好人,我叫成奇勋，来自双门洞虽然我忙着陪工友打架导致老婆一个人爬着去医院生产，但我工友死了啊，老婆孩子不都顺产了吗；虽然我妈得病急需用钱治病，我不知羞耻跑前妻家里借钱，人家老公借钱了叫我以后别去他家少看女儿，这我不得立马打人家一拳？虽然我不平时不怎么看女儿也不,8,,4回应
Su,暂无评价,2021-10-05 11:55:30,鱿鱼游戏：金钱或生命的选择,本人总结出可以怀疑老人是最终boss的疑点如下：一：是第一个游戏123木头人可以看出老头是很积极乐意参加这个游戏的，在发现淘汰是以死亡为代价之后仍然很开心的享受（第一个往前冲，而且是笑着往前冲）要么老人心理素质高，经历过大风大浪，在死亡面前无所畏惧，要么老人早已,,,0回应
赏味期限れな🌸,力荐,2021-10-05 11:55:26,男主，一个伪善的救世主,一个为了要出生的女儿组织参加公司起义，却又因为受伤的同事不顾自己待产的老婆;为了那点自尊心，宁愿抛下需要照顾的妈妈去参加游戏，却不愿意低头接受前妻丈夫的救命钱;一个偷卖自己妈妈社保的烂赌徒，自己杀了那么多人，却还这么伪善，不如说他这个人就是一个拎不清的人，当,,1,0回应
RYAN,力荐,2021-10-05 11:40:38,鱿鱼游戏主要人物命运分析,成奇勋：人物特点：单纯、对生活充满热情客体关系：简单的内在父母-单纯快乐的自体。放养式家庭成长，没有太多条框限制，成长环境比较单纯，所以始终保持着一颗渴望快乐，单纯的心。是为数不多的，未被污染的心。但保持单纯在现代社会中是要付出高昂成本的，最终只能生活在社,1,1,0回应
多多,推荐,2021-10-05 10:12:18,小孩人格的成年人,很多人批评男主圣母，又当又立，是建立在他是个成年人的判断这一基础之上，但是如果把他看做一个小朋友，那么他的所有行为都非常的合理且容易理解。未成年人的特点就是没有目标意识，缺乏责任感，喜欢投机取巧，但是他们天性依旧善良，关键时刻比较感性。男主生活中的失败就是,1,,0回应
清明,还行,2021-10-04 20:18:47,VIP招待室最讽刺,"那帮操着英文的VIP,就是无聊到舔血找刺激的世界最富最有权人群。他们枕着大胸美女的🐻，脚放在伏在地上的人身上。随便找个顺眼的侍者就想蹂躏。简直就是对真实世界钱权阶级的最大讽刺。跟弥留之国的爱丽丝题材一样。1.一二三木头人2.抠椪糖3.拔河4.弹珠5.走玻璃桥6.打",,,1回应
仙人板板,推荐,2021-10-04 22:43:30,游戏里的上位者、下位者,规则制定者对玩家心态上的拿捏，真是妥妥的。可谓是上位者的厚黑学教程。一、【隐瞒对自己不利的消息】木头人游戏后，有人开始想要退出游戏，制定者只说了游戏一旦开始就不能停止，但并不告知知玩家只要半数以上同意，就能终止游戏。二、【将巨大的利益放在眼前诱惑】当被天,,,0回应
点什么Coco,推荐,2021-10-05 02:00:47,个人感想，分集评分,看完第二集来评个分。当看到发起是否进行游戏的投票时，心里都产生了“这肯定会继续啊不然不就完结了吗”的想法，没想到结果竟是出乎意料的终止。还在纳闷剧情会怎么安排才能让“重新加入游戏”显得合理又不让人觉得和第一集重复时，第二集的处理令人喜出望外。一如标题地狱一,,,0回应
害,推荐,2021-10-05 01:35:23,何必用善良做外衣？,看完了整个剧，个人认为最后结局这个老人的立意根本说不通，他简而言之只说是为了找乐子倒说得过去，但硬说是为了试探人性，就好像在给这个剧强披一层人性的好坏用来襄边。他本身就不是个什么好人，只是为了乐子而和其他资本家创办了这个游戏，他们的乐趣就是愿意看游戏中的人,2,,0回应
FQ,暂无评价,2021-10-05 01:00:57,人性，不过是为己而已,1.不仅反映出现实生活，更戳穿了现实生活鱿鱼游戏最吸引人的地方就是他的真实感，很多剧拍不出来现实的生活，而鱿鱼游戏它不仅拍出了现实生活，还是戳穿了现实生活中诸多戴着面具的虚伪部分，不仅仅是反映了现实的外在形式，更是戳穿了现实中人和人之间的扮演成分，把最真实的,1,,0回应
霓凰,暂无评价,2021-10-05 00:43:09,回头思密达,最印象深刻的是回头思密达，为啥不是中国电视剧，爱了，全程无尿点，有刺激，有亲情，层层代入，代入感极强，有木有第2部，没看够。啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦，为啥还不够140字，啦啦啦啦啦啦啦啦啦，第二部还有没有，期待，啦啦啦啦啦啦啦啦啦啦啦疯了，140,,,0回应
为而无所求,推荐,2021-10-05 00:32:42,无趣生活？永恒轮回？,第一印象——男主好熟悉，发型很像朴赞郁的老男孩，后来再三确认是之前和老杨看过的暗杀的反派特工主情节线比较明晰，当钱哗啦啦掉进大猪存钱罐的时候，大概就是一场生存游戏以及有钱人的玩乐——后来一号老头的话也印证了这点“有钱人和没钱人都有一个共同点就是生活都没趣”,1,,4回应
LV,暂无评价,2021-10-05 00:07:50,追剧,很久不看韩剧了，利用两天中午大概追完了，不太理解这个游戏的由来，人真的会为了钱不择手段吗？剧中男主喜欢赌博，没钱养母亲和孩子，最终去玩到这个恶心的游戏，为了钱自相残杀，双手沾满鲜血，有很多人说男主伪善，但至少他还是善良大于邪恶的吧，很喜欢姜晓这个角色，在自,,,0回应
楚沐风,推荐,2021-10-04 22:37:35,全员恶人，所有人都在鱿鱼游戏里杀疯了！,你看9月神剧《鱿鱼游戏》了吗？首播当天就登上了TVSHOWS总排名的第一位，成为Netflix新宠，已经确认会拍摄下一季。剧中女性角色姜晓的ins粉丝数，短时间内超过了1000万。而国内也是频繁登上微博热搜榜，豆瓣评分7.7，标记看过人数20.1万，还有近8万人想看。大家之所以想看,1,,0回应
情绪宣泄的小号,暂无评价,2021-10-04 23:49:02,哪里是游戏，那是人性,一连两天的速度追完了这部剧，这部剧名可是热搜词，没看之前就听过，还很好奇这是新出的一款热门游戏还想着改天下载玩玩呢。带着好奇之心，好看还是很过瘾的，毕竟是韩剧还是网飞出品，不过有几个疑惑的地方：1、关于剧中警察的出现及死亡，这条线除了是让男主再次回到游戏中的,1,,0回应
03,较差,2021-10-04 23:47:11,无聊的东西,最开始看鱿鱼游戏会悲伤，人们在flymetothemoon里往前跑，和缓的爵士乐，一个接一个的脑壳爆开，血崩了满屏幕，我很惆怅地和公主说好美，公主笑得很开心，说真像你会做的事，我说不要。慢镜头那么脆弱地把人推到我跟前来，我不认识他们，他们却要因为被我观看而被打烂身体,,,0回应
绿树高山,还行,2021-10-04 23:33:47,架空的游戏，现实的韩国,走在首尔的路上，看到有些人脾气很冲地大呼小叫，或是伶仃大醉地躺在路上，或是满脸愁容地环顾四方，都容易让我有不安感，这种不安感来自我对他们生活和境遇的不了解。鱿鱼游戏的设定就是收集了这些人进行游戏，这些人的失踪不会成为社会新闻，他们是被韩国社会排出的人。作为,1,,0回应
周星星,还行,2021-10-04 23:22:39,两天刷完，一堆不成型的碎碎念吧,【肯定有剧透】●因为一直看到推荐和被吹，所以我也渐渐起了兴趣，结果一开始就被一句话剧透＝＝●男主虽然是个混混，但是内在像个孩童。●还是有些地方让我有些不爽和不服的。比如：“我们这里只有/不要女生”，比如头三个求饶的全是女的，比如为什么花那么长时间演无聊的,,,0回应
小鸥鸥,推荐,2021-10-04 23:11:28,鱿鱼游戏の Littleouou小鸥鸥小乖画细节,每一集都扣人心弦呀！奈飞的剧集果然还是不错的，韩国欧巴和超模的演技也不错！人性的善与恶，在一场场游戏中，备受考验。从500+的参与人群到最后2个人的博弈，到最终的反转。夫妻，老人与年轻人，发小，朋友，流氓与混混，原生问题家庭的可怜小女生，不同的身份，与对待死亡的,,,0回应
ChesterF0rev3r,还行,2021-10-04 23:11:20,网飞现在什么都不挑,爱死机第二季这么火的ip都拍得还不如大学生毕设，不知道网飞还能干点啥。反派从头到尾都在卖队友杀人不眨眼结果最后刀都没挨一下被咬了一口脚脖子就躺地上起不来了？宁就是阿喀琉斯？主角对自己亲妈女儿老婆发小重拳出击反倒跟刚认识的老头儿老娘们儿打成一片？东北银自来熟,1,,0回应
错别字儿,推荐,2021-10-04 23:04:37,take some notes,1.选择的都是赌徒，参加游戏就是一再逃避现实。就像他们在现实生活里一旦面对困难就选择赌博，借债，而不是选择面对困难解决问题。2.第四集里拔河选队友的夫妻，瞬时给了一种温暖。这一刻我好像明白，人之为人，什么实质物质上的获得与失去都是虚妄。人这辈子，为情而活，为各,,,0回应
犀照,力荐,2021-10-04 21:59:09,用一切换来的生命,其实看的时候我在想，赌上一切换来的生命，那还是生命吗？他已经失去了生命的内核，是一个行尸走肉般，皮囊的生命。这也是我们自诩为文明人的苦恼。有时候觉得生命可贵在那些闪光的地方，却忘了相对意义上的内核却是“活着”小时候总觉得非黑即白，不是对了那一定是错的。不,,,0回应
米砂,推荐,2021-10-04 21:32:35,人性,最近刷抖音老是刷到莫名其妙的那个音乐，看着很恐怖的样子，点进去又觉得搞不清楚状况，于是专门去搜索了一下发现这是一部电视剧。今天下午一口气看完了九集，虽然很血腥但也不是那么惊悚，至少看的整个过程都让人感到很现实，想到人性的弱点，人性的扭曲，有钱人的世界资本的,1,,0回应
以后是了,还行,2021-10-04 21:00:04,适合下饭的好剧，不是所有剧都需要意义深刻,今天终于把「鱿鱼游戏」剩下的几集全都看完了，由于一开始被剧透了一些，而且受网络上对结局差评的影响，感觉最终还是失去了一些观影体验。网上骂的多，但其实我感觉还好，就是最后几集对“贵宾”VIP的刻画说实话有点浮于表面了，可以感受出导演想表现出贵宾们高高在上的轻蔑与,,,0回应
jinglebell,暂无评价,2021-10-04 18:25:01,这叫杀人游戏？这简直是圣人游戏！,这游戏残忍？你去《赌博默示录》《大逃杀》《饥饿游戏》《电锯惊魂》里找个比这更温和（淘汰方式基本一枪毙命，无虐待成分），人道（还知道体恤被淘汰者家属？），公平（幕后BOSS跟你同吃同住，以及对作弊者的态度），民主（投票决定是否继续），守信（当真让获胜者拿了钱毫发,3,,1回应
白树,还行,2021-10-04 17:52:18,同题材内中规中矩，就是有一些看头的爽剧，打发时间可以,中规中矩，就很难打分，，四分吧太高，三分又太低，3.5分最佳。五分制3.5，十分制7.5。总体来说，有些可惜的一部剧，稍稍在打磨一下，就是神剧的范畴了，可是某些方面差强人意，就显得中规中矩。但凡在打磨打磨呢？剧情方面，核心似乎是想走探讨人性这条线，但是它探讨有些浅,,,0回应
发型又乱了,推荐,2021-10-04 17:47:33,吐槽中国高负债,刚刚全剧追下来畅快淋漓，6个游戏隐喻我看了导演组访谈的翻译，都很深刻。1.123木头人讲的是韩国教育制度不断的在淘汰不符合其要求的学生；2.椪糖游戏：讲的是职业选择的重要性，高学历(证券师）/有人脉(医生）的人可以选最简单的途径走向成功，而男主的选择累得要死却只能苟,3,,0回应
naomi,还行,2021-10-04 17:22:50,游戏无聊+人设无聊+剧情无聊+营销满分,越想越生气，全网给我营销那个抠糖游戏，想我英明神武那么多年，结果还是没有逃过营销的套路1、游戏无聊看之前也好奇过，ok的抠糖那个我懂了，男主小机灵鬼，那别的游戏是个啥？看完我才知道，家人们只有这一个游戏能营销啊第一个游戏是一二三木头人，规则谁动谁死，谁时间,3,1,3回应
SerenaZN,还行,2021-10-04 16:10:17,牛掰的前八集+无语的烂尾,"全剧前8集精彩现实,结尾似乎是为了给观众点人性的希望，硬塞给你一把圣母糖….😂感觉简直是在你喝了一杯清爽回甘的黑咖啡之后，强行被喂了一大口奶油，这叫一个欲哭无泪……先说说这剧的牛掰之处。首先在一个楚门世界般荒诞场景中，通过儿童游戏设置，反映人性复杂，不得",1,,1回应
白小九,暂无评价,2021-10-04 16:06:49,期望过高,好多恐怖无限流小说都比这个设定强。。。要是跟恐怖无限流一样设定系统选人玩游戏我都觉得可以接受。。。每年那么多人失踪没人报过案没人找过？不可能每一个人都是无父无母的孤儿吧？剧情套路大概也能猜到，最后肯定是要他们自相残杀只能活一个的。男二性格倒还能理解，小恩,,,0回应
W,力荐,2021-10-04 15:01:35,随手记：如此HOT还是有原因的,写几个印象深刻的点1、男主人公的刻画其实非常好，他就是那种普通却让人觉得无用的人，可又是大多数人吧。因为企业出现问题，都转嫁给了员工，死去的同事；自己想要努力，结果连家庭都赔进去了；欠了很多的钱，利滚利，难免就想要铤而走险，去赌——好不容易有点运气，却又被,2,,1回应
Katherine,推荐,2021-10-04 14:13:42,人性,一开始知道这剧是因为某音给我推了好几个扣糖饼的视频，激起了我的好奇，所以看起了这部剧推荐指数🌟🌟🌟🌟（第四颗献给我最爱的阿加西谢谢）@内容：主办方拉了一群欠了一屁股债的绝望人们，参加游戏。玩的都是小时候的游戏，笑到最后的人可以得到455亿奖金，但是,1,,0回应
某些,还行,2021-10-04 13:02:23,鱿鱼游戏,鱿鱼游戏的火，也不是没有道理。虽然很多人诟病它游戏模式的简单以及烂尾。确实这种大逃杀模式的漫画和小说，无论是在日本还是在国内，已经有了很多经典之作，也有很多剧情比这精彩很多的作品。但是我觉得鱿鱼游戏的简单游戏模式或许正是它出圈的原因之一。国内的无限流感觉已,,,0回应
木木,还行,2021-10-04 11:57:30,那天，他转身离开飞机，神剧就此烂尾,他，年轻时受过伤，中年时啃老过活，债台高筑，器官暂存，社会底层的行将淘汰之人，可谓“底中底”，在人生这场游戏中已毫无胜算可言。但他命不该绝，命运向他发出邀请，他拥有了玩一场比他先前所玩更为公平的游戏的机会，毕竟这场游戏真的给奖金，且极丰厚。这场游戏很简单，,,,0回应
海边的曼彻斯特,力荐,2021-10-04 10:46:40,第六集打弹珠“刚布”，是全剧的“黑色珍珠”,【不是影评，自己记录用。短的写不下了，写成影评】8.9太精彩了，牢牢吸引。刺激、快节奏、紧张、复杂的人性，这种能猜到结局其实每轮胜负都可以猜到的游戏，看得我手心脚底出汗，说明故事本身、导演、一众演员实在是太出色！每一个角色都值得回味。第六集打弹珠那集“刚布,3,,1回应
虎跳匣,推荐,2021-10-04 10:20:38,鱿鱼游戏火出圈，是有一定的必然性的,鱿鱼游戏火出圈，是有一定的必然性的。首先，虽然这个题材不能说新颖，早年的《大逃杀》和近年的《狩猎》和最近的《弥留之国的爱丽丝》，都是这种死亡游戏的设定，主题已经被日本动漫电影等用过很多次了，但是常看常新，对人性的拷问（如不受限制的权利等）永远受欢迎，而且还,1,,0回应
Annie♏,暂无评价,2021-10-04 10:05:15,烂尾在最后十分钟,我觉得一个生活在底层的人通过这种踏着别人尸体赢得巨款的人，又因此失去了母亲和兄弟的人，又有很强的同情心的人，不会最后赢得巨款后，还让自己的母亲没有好的归宿（没有提及给母亲置办墓地）、让为了巨款牺牲了自己的兄弟的母亲依旧在寒夜里摆摊一整年、不会将托付于自己的,1,,0回应
quincy x.,推荐,2021-10-04 05:54:41,不公平是最大的公平（剧透慎入）,不说废话，开门见山。鱿鱼游戏里说—在这个游戏里所有参加者都是平等的，参加者都以同样的条件公平竞争，我们是给在外头的世界，遭受到不平等待遇和歧视的人们，最后一次机会，得以公平竞争取胜。有人确实也利用了这个规则，比如说德秀和胖子打弹珠在快要输的时候提出要换一,3,,0回应
笨蛋不是笨是蛋,力荐,2021-10-04 04:37:39,鱿鱼游戏短评,其实我在看到前三集就大概能推导出剧情的走向，只是最后的刚布给了我反转这点挺有趣。网飞出品保证质量的同时给我们带来些惊喜，带五个面具的vip们恰好对应了现今联合国五常；脱北者注定会受到惩罚，即使女主赢得几百亿回去，恐怕也见不到自己妈妈；韩国的警察再一次被直接嘲,1,,1回应
只是存在,较差,2021-10-04 02:03:30,内卷,关于鱿鱼的菜谱都会有花刀，焯水的步骤，这样鱿鱼会成卷，酱也可以更好的挂在肉上。毕竟味如嚼蜡这个词就是为鱿鱼设定的。不挂酱汁鱿鱼又臭又硬。所以日本人发明炒鱿鱼这个词除了卷铺盖走人外，滚蛋的大概也是又臭又硬吧。偏偏中国又有个叫内卷的词放在炒鱿鱼这道菜上也,2,,0回应
地衣芽孢杆菌,暂无评价,2021-10-04 01:43:35,能不能不要男主啊,五星给剧情设计导演其他演员等等，一星扣编剧设定的男主，男主的设定还有演绎都好恶心。每次看到他那装可怜的眼睛我都想吐，就怎么说呢，他纵有千百万理由堕落，但他善良，那么他就是本剧男主。就。。。额，挺恶心人的。从设定来讲，一个人掉落到社会最底层不可否认有外界的原,,,0回应
Rhett Z,力荐,2021-10-04 01:13:29,所有人一直在游戏中,所有人至始至终都在游戏中，被主办方监视，无论你是中途退出的人还是最终胜利者。超过半数人投票退出游戏，其实也是游戏的一部分，你不返回游戏，相当于在游戏中弃权（违反了协议书的第二项），不被干掉对其他参赛者不公平，所以他们的奖金也会被累计。想到一点，虽然重返的比,2,,0回应
Joe,还行,2021-10-04 00:41:33,半部好剧,前五集4星，后四集1星。前面节奏不算紧凑，但起码留了足够的悬念，让人一直提心吊胆的看下去。第二集很慢，不惜用了整集篇幅去塑造男主、男二、女主的形象，可始终是好的，也和单集标题「地狱」相呼应，可观众愿意等这慢节奏是为了后面揭秘的爆发呀。结果到了离谱的事情就来了,,,2回应
m_CLAAA,暂无评价,2021-10-04 00:39:37,关于人性的善与不善,刚开始看的时候受大家的推荐，等我一口气看完的时候，回想起剧中的细节，细思极恐，说实话心里有点难受，真得难受。剧中抛给参赛者这几个问题（大概总结了一下）：是否终止游戏；帮助弱者还是选择强者；主动出击还是退而自保；合作共赢还是独善其身；你面对的可能是弱者,1,,0回应
王其人,暂无评价,2021-10-04 00:16:17,人性的真是考验,毫无疑问，《鱿鱼游戏》又是韩国影视作品的一次成功，不仅关卡的设计高明且富有创意，让一群大人拼着命在进行小孩子的游戏形成了一股有趣的反差，曾执导《熔炉》的导演黄东赫也非常善于挑起观众的情绪。根据韩国存在的社会议题来进行创作，不管是外国移工、脱北者，或者是因为,,,0回应
Alice,推荐,2021-10-04 00:13:48,我们的探讨不应该是 “人性到底经不经得起审视？” 而是 “是不是应该有更好的社会机制来避免我们需要对人性发问？”,说几点观后感吧~1.我觉得还不错啦，straightforwardgamesettings+mercilesskillings+东亚背景，满足了很多人的猎奇心理，难怪是网飞目前最成功的koreanshow。看到有评论说这个剧火的原因是人类本质是想看到其他人死，不敢苟同。人类这么复杂的物种，每个人都是不同的,1,,0回应
也与,推荐,2021-10-03 23:55:48,标记“看过”字数多了只能写剧评，懒得删字,也许是看得少，感觉这片挺刺激，但我强烈不能接受的有：不知道警察哪来的正方形面罩（也许是看漏了）过了一年多了，姜晓妈妈没被问没被找，有钱后女儿也没留住，资料传给警长（也许是没传成功，但是可以打电话）后警方没有出动，一年没取款债主却消失了，观众席并不见得很有趣,1,,0回应
杨由里Yuri,力荐,2021-10-03 23:09:53,现实世界loser们的一场“公平”游戏,这部剧主要讲了在现实社会中被定义的loser们为了赢取456亿踏进一场美曰其名“公平竞争”的恐怖杀人游戏中，各种人性的阴暗在死亡与贪婪面前暴露无遗…在现实世界中被定义的失败者，他们或多或少因为个人原因负债累累、寸步难行、苟活于世，有人名牌大学毕业却因投资期货亏损巨,,,0回应
cccheesez,暂无评价,2021-10-03 22:51:05,鱿鱼游戏,一天刷完，作为纯粹地逃杀游戏尚可，儿童游戏的设定影响，能为残杀增加一定的矛盾冲击感，但也使得通关过程中的睿智感稍显不足。不过总体而言前期和中期的剧情还是很棒的，尤其最开始的“一二三木头人”游戏，童话世界般的布景、最熟悉的童年游戏以及红衣人开枪扫射的血腥场面,,,0回应
派小星,还行,2021-10-03 22:36:28,虽然我赌博啃老，但我是个好人,好家伙，自从开播，就疯狂买热搜，每天都有热搜，棒子可真会营销。关键这题材日本已经拍烂了，而且这剧集的质量真不咋地，还能请得动李政宰和李秉宪，真的很迷惑？？？男主的人设糟糕的一批，他就是全员恶人里最恶心的，又当又立，而且还没有脑子，全靠队友成全，就没干成过一,1,,4回应
乐安蓝,还行,2021-10-03 22:00:06,一个超级卷大型群面现场+高强度团建的社会学实验,一个超级卷大型群面现场+高强度团建的社会学实验，充满对功绩型社会的隐喻。1.人性是神性与动物性混杂的。2.人都是慕强的，游戏中，每个人都想和强者组队，都要快速找到自己的位置，有人做策略分析，有人做氛围调节，有人做时间管理，不能清晰定位并输出价值的人就会成为边缘,2,,1回应
一抹浓烈红,还行,2021-10-03 21:57:11,首尔大学，超级合格的男二,下了一天的雨，花了一天时间来看这个剧，本来下雨就容易感到压抑，再加上最近焦虑值已经超过了爆表值，一天什么都不做就只看这部剧emmmm让我现在晚上九点半更是要分分钟爆炸开了。好了好了，不发牢骚了。鱿鱼游戏这股风听说最近很大，我几乎百分百远离网络的状态也还是被刮到,,,0回应
刘异,推荐,2021-10-03 21:46:44,值得看的大片,有人说好，有人说不好。没关系，我最能判断。喜欢绝命毒师，冰血暴，黑吃黑这类美剧的，来看。喜欢唐顿庄园之类的，就难说了。反正我是很喜欢哈哈哈哈哈哈哈哈哈哈哈哈哈好哈哈哈哈哈哈哈哈哈哈哈哈好哈哈哈哈哈哈哈哈哈哈哈哈好哈哈哈哈哈哈哈哈哈哈哈哈好哈哈哈哈哈哈哈哈,,,0回应
V-simple,推荐,2021-10-03 21:05:51,观《鱿鱼游戏》有感,本片通过魔幻现实主义手法，生动形象地反映了韩国资本主义社会尖锐的阶级矛盾和巨大的贫富差距，揭露了资本主义社会的腐朽与黑暗，展现了生活在资本主义社会中底层人民被迫负债的绝望与难以维持生计的呐喊，反衬了我国社会主义制度的巨大优越性和人民当家作主的幸福感，突出了,,,0回应
朴斯万,推荐,2021-10-03 20:31:29,假如001老头子读过几本狄更斯，或者托尔斯泰？,多少年前在中文互联网上开始流行世界各地著名大学的公开课，其中的一个爆款是哈佛大学桑德斯的《什么是正义》让我们领略了世界顶级名校的哲学课堂是怎样的。作为一名典型民哲文青其能错过。我抄着笔记，被桑德斯教授妙趣横生哲的讲堂引欣然进了哲学的入门。在这堂著名课堂的最,1,,0回应
Tash Jam,还行,2021-10-03 20:18:34,他们不尴尬，尴尬的就是我,我做了很大的心理建设，才决定看一个韩剧。但是，好失望啊，好普通哦。我没想到，这么多年过去，韩剧主角还是又蠢又圣母，全程靠金手指开挂、别人的力量智慧和牺牲倒霉走到结局，虽然从女的变成了男的，但一样招人烦。连第一男主的人物都立不住，可想而知，这剧有多单薄。用,4,,0回应
Lhrdar.,力荐,2021-10-03 20:09:51,简拼三则,①与其说携上面具便事事泯人性，不如说看见人脸便是人性光辉重复普照。剧中获取信任的方式是摘下面具，互问姓氏，看见人，便有相信人性的本能。②说:贫穷或有福，人生的乐趣同样是聊胜于无。人性学不会知足，故不懂常乐，最终是将人性搬上娱乐场，才捉摸到日子平凡的光彩，,,,0回应
